Year-Quarter,Day,Date,City,State,"City, ST",Country,Commodity,Value,Type of Loss,Location,Additional Information,Recovery?,Time,General Category
2020-Q1,Monday,3/9/20,Fresno,CA,"Fresno, CA",USA,Snack foods,40000,Cargo theft,Origin/DC,Fictitious pickup,,,Food & Drinks
2020-Q1,Tuesday,3/10/20,San Francisco,CA,"San Francisco, CA",USA,Computer hard drives,50000,Pilferage,Airline cargo terminal,No additional details,,,Consumer electronics
2020-Q1,Tuesday,3/10/20,Detroit,MI,"Detroit, MI",USA,Pharma,20000,Cargo theft,Parking lot,No additional details,Recovered,Morning,Pharma & Medical supplies
2020-Q1,Tuesday,3/10/20,Groton,NY,"Groton, NY",USA,Wine coolers,60000,Cargo theft,Origin/DC,Fictitious pickup,,,Tobacco & Alcohol
2020-Q1,Wednesday,3/11/20,Mississauga,ON,"Mississauga, ON",CAN,Vegetables,30000,Cargo theft,Unsecured location,No additional details,,,Food & Drinks
2020-Q1,Thursday,3/12/20,Tulsa,OK,"Tulsa, OK",USA,Mixed goods,,Seal break,Parking lot,No additional details,No loss,,Mixed cargo
2020-Q1,Friday,3/13/20,Castaic,CA,"Castaic, CA",USA,Tires,50000,Cargo theft,Parking lot,No additional details,,Overnight,Automobile & Parts
2020-Q1,Friday,3/13/20,Mira Loma,CA,"Mira Loma, CA",USA,Televisions,124800,Cargo theft,Truck stop/Gas station,Riverside Dr,,,Consumer electronics
2020-Q1,Friday,3/13/20,Leesport,PA,"Leesport, PA",USA,Chicken,60000,Cargo theft,Unspecified,Driver theft,,,Food & Drinks
2020-Q1,Saturday,3/14/20,Charleston,SC,"Charleston, SC",USA,Surgical gloves,100000,Cargo theft,Unsecured location,No additional details,,,Pharma & Medical supplies
2020-Q1,Sunday,3/15/20,North Las Vegas,NV,"North Las Vegas, NV",USA,Plastics,200,Pilferage,Drop lot,No additional details,,,"Cleaning, Plastic, & Paper"
2020-Q1,Sunday,3/15/20,North Las Vegas,NV,"North Las Vegas, NV",USA,Water,2000,Pilferage,Drop lot,No additional details,,Overnight,Food & Drinks
2020-Q1,Sunday,3/15/20,Charleston,SC,"Charleston, SC",USA,Surgical gloves,100000,Cargo theft,Carrier yard/parking,No additional details,,,Pharma & Medical supplies
